Real Value Added by Industry
Real Value Added by Industry
"Last Revised on: March 27, 2025"
41,"        Air transportation",137.6,147.7,153.0,149.8,152.4,148.5,151.4,154.1,153.7,158.4,162.4,151.6
42,"        Rail transportation",43.0,43.4,42.8,42.6,41.8,40.9,40.7,40.7,40.5,39.9,39.5,39.8
43,"        Water transportation",17.6,17.0,14.8,12.9,14.6,16.3,15.6,17.0,15.8,18.0,17.1,18.7
44,"        Truck transportation",177.0,165.0,162.0,165.1,168.1,169.6,168.1,169.3,175.9,178.5,175.6,191.4
45,"        Transit and ground passenger transportation",58.3,59.8,62.5,66.6,71.5,73.7,73.9,73.0,81.2,84.9,88.3,90.6
46,"        Pipeline transportation",32.5,34.7,34.5,34.8,35.4,35.7,34.4,35.0,35.7,34.7,35.8,35.8
47,"        Other transportation and support activities",150.2,150.4,154.3,159.3,159.8,161.7,166.7,161.3,153.1,146.8,149.3,148.0
48,"        Warehousing and storage",94.8,95.4,94.9,86.9,78.5,80.5,83.1,83.7,81.6,79.4,81.8,81.2
49,"    Information",1445.7,1462.6,1490.4,1516.5,1552.0,1582.7,1639.6,1649.1,1657.3,1663.7,1689.0,1696.0
50,"        Publishing industries, except internet (includes software)",375.8,384.4,387.1,413.1,424.2,428.4,440.9,443.0,446.6,444.5,444.7,441.8
51,"        Motion picture and sound recording industries",111.5,116.7,116.2,113.0,112.2,114.4,119.7,119.2,115.8,119.4,121.3,121.8
52,"        Broadcasting and telecommunications",523.6,517.1,515.4,513.0,523.4,521.2,531.8,530.6,527.1,521.9,524.1,525.7
53,"        Data processing, internet publishing, and other information services",439.0,448.5,476.7,483.1,498.6,526.2,555.5,565.2,577.7,588.2,610.4,618.9
54,"    Finance, insurance, real estate, rental, and leasing",4614.7,4623.1,4635.2,4608.5,4660.2,4647.4,4689.5,4707.6,4706.2,4750.4,4758.8,4791.9
55,"        Finance and insurance",1622.0,1599.9,1590.4,1546.1,1572.6,1555.7,1580.9,1591.8,1581.9,1607.5,1608.9,1620.2
56,"            Federal Reserve banks, credit intermediation, and related activities",701.2,671.5,635.8,607.6,637.1,625.5,644.3,648.7,647.7,663.8,662.5,668.2
57,"            Securities, commodity contracts, and investments",274.5,289.0,312.3,313.7,311.2,310.2,303.7,323.3,317.1,313.1,305.3,301.1
58,"            Insurance carriers and related activities",630.9,634.0,651.7,640.6,634.0,629.9,636.9,629.0,623.5,632.4,638.1,643.5
59,"            Funds, trusts, and other financial vehicles",9.6,5.1,3.1,2.6,3.0,3.3,4.4,3.1,3.5,4.5,6.2,7.8
60,"        Real estate and rental and leasing",2996.3,3028.2,3050.4,3070.4,3094.9,3099.7,3116.0,3123.1,3132.0,3150.1,3157.2,3179.0
61,"            Real estate",2724.1,2757.3,2776.4,2794.0,2810.5,2810.3,2817.8,2827.2,2834.9,2847.7,2853.3,2874.1
62,"                Housing",2018.1,2049.0,2065.6,2071.0,2075.7,2072.3,2074.4,2081.3,2094.0,2100.7,2105.1,2113.4
63,"                Other real estate",710.3,712.2,714.4,727.8,740.6,744.2,750.2,752.8,746.3,753.1,754.3,768.5
64,"            Rental and leasing services and lessors of intangible assets",272.8,271.4,274.6,276.9,285.1,290.2,299.2,296.7,297.9,303.5,304.9,305.9
65,"    Professional and business services",3240.8,3279.7,3331.9,3374.0,3375.7,3381.5,3389.8,3420.1,3455.8,3472.0,3489.6,3511.7
66,"        Professional, scientific, and technical services",1993.4,2014.4,2047.2,2079.0,2091.2,2112.6,2123.5,2137.3,2167.0,2182.2,2201.7,2226.4
67,"            Legal services",282.5,282.4,278.1,276.3,275.2,275.4,270.5,274.0,270.8,275.2,272.6,269.2
68,"            Computer systems design and related services",555.7,562.6,567.6,581.5,583.5,599.6,599.6,604.6,629.7,633.7,637.2,647.7
69,"            Miscellaneous professional, scientific, and technical services",1171.5,1186.7,1220.0,1242.3,1254.0,1262.3,1278.8,1284.2,1298.6,1304.8,1324.6,1345.4
70,"        Management of companies and enterprises",505.4,527.3,536.7,542.6,538.5,532.8,535.8,538.9,548.9,545.5,548.4,548.5
71,"        Administrative and waste management services",743.1,741.6,751.8,756.8,750.8,741.5,737.0,749.4,747.4,751.2,747.4,745.6
72,"            Administrative and support services",683.0,681.2,693.7,699.2,693.4,686.3,683.1,695.6,692.1,697.2,692.5,691.0
73,"            Waste management and remediation services",60.5,60.7,58.7,58.4,58.1,56.1,55.1,55.3,56.4,55.4,56.0,55.7
74,"    Educational services, health care, and social assistance",1905.1,1916.2,1942.9,1954.8,1997.8,2007.1,2027.8,2052.0,2076.5,2096.3,2120.3,2142.5
75,"        Educational services",253.3,256.6,260.1,261.5,261.9,261.4,262.0,268.0,269.6,265.4,268.7,269.9
76,"        Health care and social assistance",1652.1,1659.9,1683.1,1693.7,1736.3,1746.2,1766.3,1784.5,1807.3,1831.5,1852.3,1873.3
77,"            Ambulatory health care services",835.4,837.0,853.5,864.6,906.2,914.3,927.5,941.2,955.1,969.5,982.2,991.6
78,"            Hospitals",520.7,521.2,528.3,526.2,529.0,530.5,534.3,536.5,541.0,545.5,548.7,555.1
79,"            Nursing and residential care facilities",148.4,151.8,151.9,151.6,152.0,152.7,154.0,154.1,155.6,157.8,160.2,161.0
80,"            Social assistance",149.0,151.1,151.0,153.3,153.2,153.1,155.3,157.9,161.1,164.4,167.2,171.2
81,"    Arts, entertainment, recreation, accommodation, and food services",834.1,869.0,879.4,872.4,894.4,890.1,891.7,883.2,897.6,904.5,903.1,901.1
82,"        Arts, entertainment, and recreation",215.9,233.9,241.4,244.3,245.6,250.0,243.1,237.3,248.0,262.0,260.5,259.0
83,"            Performing arts, spectator sports, museums, and related activities",127.4,140.2,146.3,147.4,151.3,155.2,147.2,141.6,152.3,166.0,164.7,161.7
84,"            Amusements, gambling, and recreation industries",88.3,93.8,95.4,97.2,95.0,95.8,96.2,95.8,96.2,97.1,96.9,98.1
85,"        Accommodation and food services",618.7,636.5,639.9,630.6,650.8,642.9,650.4,647.2,651.7,645.9,645.9,645.3
86,"            Accommodation",170.8,177.6,184.7,183.6,193.5,185.8,190.1,199.1,205.5,195.7,196.9,194.7
87,"            Food services and drinking places",448.1,459.1,455.7,447.7,458.4,457.6,461.0,450.2,449.1,451.8,450.8,452.2
88,"    Other services, except government",433.9,437.3,437.3,435.8,425.6,414.5,405.9,410.9,410.2,408.3,410.2,407.3
89,Government,2517.7,2524.7,2528.5,2541.5,2562.0,2573.9,2588.1,2605.1,2617.1,2622.0,2635.5,2653.1
90,"    Federal",816.6,807.5,804.0,806.3,810.0,813.5,808.8,810.8,813.2,815.4,817.6,821.3
91,"        General government",751.5,748.7,749.9,751.7,757.0,758.6,762.1,762.6,767.1,770.8,774.0,778.4
92,"            National defense",425.7,421.8,420.5,419.7,420.4,419.4,419.7,418.3,418.6,419.7,421.1,423.3
93,"            Nondefense",325.9,327.0,329.6,332.3,336.9,339.6,342.9,344.9,349.3,351.9,353.7,356.0
94,"        Government enterprises",65.3,59.1,54.8,55.2,53.8,55.6,48.1,49.5,47.5,46.1,45.4,44.7
95,"    State and local",1701.8,1717.8,1725.2,1735.9,1752.8,1761.2,1780.4,1795.6,1805.3,1808.0,1819.3,1833.4
96,"        General government",1551.3,1557.0,1571.6,1588.0,1613.9,1630.9,1648.5,1663.8,1676.0,1682.5,1690.8,1699.4
97,"        Government enterprises",152.9,165.4,156.0,149.0,138.8,129.9,131.4,131.3,128.9,125.5,128.3,133.5
98,"    Not allocated by industry1",-192.1,-235.7,-240.4,-242.3,-238.9,-234.4,-231.1,-227.4,-240.7,-244.9,-254.2,-259.7
,"    Addenda:",,,,,,,,,,,,
99,"            Private goods-producing industries2",3636.2,3558.4,3547.6,3596.9,3567.7,3651.6,3728.8,3767.4,3743.0,3806.4,3820.9,3842.5
100,"            Private services-producing industries3",15746.7,15836.2,15994.8,16114.3,16283.5,16320.6,16469.4,16593.5,16699.6,16800.7,16949.3,17050.5
101,"            Information-communications-technology-producing industries 4",---,---,---,---,---,---,---,---,---,---,---,---

Legend/Footnotes
"1. Chained (2017) dollar series are calculated as the product of the chain-type quantity index and the 2017 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The value of the Not allocated by industry line reflects the difference between the first line and the sum of the most detailed lines, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"2. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"3. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"4. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
